av101.life	178151	99.61	177456.2111
av101.city	117193	99.8	116958.614
aq101.xyz	117077	99.47	116456.4919
aq101.xyz	117077	99.47	116456.4919
s101.run	96859	81.74	79172.5466
av101.one	77187	98.02	75658.6974

色花堂	13493245
sehuatang.org	7780000	62	4823600
sht1236.me	5176000	85.84	4443078.4
sehuatang.net	2110000	59.05	1245955
dsndsht23.com	1282000	85.7	1098674
22sht.me	590585	89.36	527746.756
sht88.me	479363	97.31	466468.1353
sehuatuchuang.com	1072000	82.81	887723.2

琉璃神社	9036087
llss.pl	5411000	92.21	4989483.1
liuli.in	4131000	77.24	3190784.4
llss.city	578695	91.84	531473.488
hacg.me	242920	78.45	190570.74
llss.pw	52635	85.94	45234.519
acg.gy	44565	94.19	41975.7735
llss.be	41544	97.93	40684.0392
hacg.lol	7337	80.15	5880.6055

桃花族论坛	8685491
thzdz.us	2932000	87.73	2572243.6
thz4.net	3431000	73.36	2516981.6
thz5.net	2022000	75.68	1530249.6
thle.org	974075	87.52	852510.44
thz8.cc	1070000	67.57	722999
thztv1.com	270865	89.65	242830.4725
taohuazu.cc	86870	96.73	84029.351
taohuagongshe.com	86119	92.2	79401.718
thzbt.us	47148	99.22	46780.2456
thz8.cc	37256	83.91	31261.5096
thz9.net	12430	49.91	6203.813

幻想次元	8656213
acg18.us	6749000	82.97	5599645.3
acg18.life	1047000	90.45	947011.5
acgft.club	948339	94.66	897697.6974
guaiguaizhanhao.com	1123000	75.92	852581.6
acg18.world	513766	69.93	359276.5638

喵绅士	7424620
hcomic.in	3758000	78.3	2942514
hcomic1.com	2843000	58.69	1668556.7
hcomic2.com	1333000	91.38	1218095.4
acgfan.me	453558	91.37	414415.9446
hcomic.rocks	437433	94	411187.02
hmghmg.xyz	408580	81.46	332829.268
hcomicurl.xyz	228930	90.93	208166.049
hmanga1.xyz	115564	95.47	110328.9508
hmanga2.xyz	84463	76.75	64825.3525
hmanga4.xyz	63148	85.04	53701.0592

魔性论坛	6610265
moxing.cloud	7822000	77.86	6090209.2
moxing.best	639255	74.16	474071.508
moxing.world	37088	81.08	30070.9504
moxing.zone	16870	94.33	15913.471

翻墙撸	6598262
fanqianglu.com	11770000	56.06

南+ South Plus 北+ North Plus Lv+ Level Plus	6124580
south-plus.net	4750000	70.83	3364425
white-plus.net	1394000	87.36	1217798.4
level-plus.net	1054000	90.7	955978
south-plus.org	444662	86.68	385433.0216
imoutolove.me	224220	89.62	200945.964

E-Hentai ExHentai	5998046
exhentai.org	40160000	11.08	4449728
e-hentai.org	37050000	3.65	1352325
ehtracker.org	661693	29.62	195993.4666

FANZA	5683200
dmm.co.jp	222000000	2.56	5683200

司机会所	5756892
xiuxiqu.wtf	3875000	83.58	3238725
zuixindizhi.org	1315000	86.41	1136291.5
xiuxiqu.net	979752	86.17	844252.2984
sjhs.pw	400265	84.77	339304.6405
xiuxiqu.info	137688	73.89	101737.6632
xiuxiqu.top	106601	90.6	96580.506

比思論壇	4975942
bi-si7.xyz	2471000	91.38	2257999.8
bi-si2.xyz	1430000	95.14	1360502
bi-si1.xyz	734654	84.65	621884.611
bi-si9.xyz	285077	96.33	274614.6741
hk-pic5.xyz	458485	45.58	208977.463
hkbbcc.xyz	146872	64.53	94776.5016
hk-pic2.xyz	152893	56.41	86246.9413
bi-si9.xyz	72314	98.1	70940.034

Avgle	4463261
avgle.com	70000000	6.21	4347000
avgle.io	1055000	11.02	116261

情色网站大全	4097704
qingse.one	16120000	25.42	4097704

第一会所	4048183
sis001.com	6740000	59.98	4042652
1huisuo.com	12952	42.7	5530.504

成人网站大全	3395995
whichav.video	16210000	20.95	3395995

紳士漫畫	3234916
wnacg.org	13500000	17.06	2303100
wnacg.com	5427000	17.17	931815.9

SexInSex	3134442
sexinsex.net	4948000	61.92	3063801.6
a1a1a1.live	72668	97.21	70640.5628

紳士の庭	3111940
gmgard.com	3187000	80.18	2555336.6
hggard.com	571637	97.37	556602.9469

Netflav	2844990
netflav.com	11070000	25.7	2844990

DLsite	2830254
dlsite.com	59710000	4.74	2830254

國模網	2813112
guomoo.biz	4716000	49.52	2335363.2
guomoo.bid	490042	95.13	466176.9546
guomoo.pw	14583	79.35	11571.6105

萌幻之乡	2773534
huan.moe	2900000	81.24	2355960
moehuan.club	333629	89.9	299932.471
huanmoe.moe	134141	87.7	117641.657

富二代国产	2638275
f2dmb.me	3218000	79.51	2558631.8
fedce.com	57888	84.86	49123.7568
f2ddi.com	23447	86.42	20262.8974
ffvan.com	11401	89.96	10256.3396

AV草	2551148
avcao.cc	9095000	28.05	2551147.5

番号鸽	2231479
javdove.com	8088000	27.59	2231479.2

whichAV	2223058
thisav.video	12970000	17.14	2223058

绅士仓库	2173856
cangku.moe	2514000	86.47	2173855.8

自拍核工厂	2140609
koxzp.com	1225000	92.33	1131042.5
ggxzp.com	510048	90.91	463684.6368
otxzp.com	372265	100	372265
bgxzp.com	153106	81.34	124536.4204
ixxzp.com	33471	98.77	33059.3067
nbxzp.com	12208	91.83	11210.6064
wexzp.com	5117	94.01	4810.4917

次元客	2083147
acgke.com	2254000	92.42	2083146.8

性吧	2040201
sex8.cc	3895000	52.38	2040201

JAV MOST	2007432
javmost.com	35280000	5.69	2007432

灵梦御所	1965083
reimu.net	2367000	83.02	1965083.4

JAV321	1973249
jav321.com	13270000	14.87	1973249

绯月Galgame	1916990
9moe.com	1514000	91.11	1379405.4
2dkf.com	535246	61.7	330246.782
kfgal.com	225735	91.85	207337.5975

爱弹幕	1881451
idanmu.at	2020000	88.42	1786084
acgurl.net	104078	91.63	95366.6714

SEX169	1880557
888cay.com	1484000	43.04	638713.6
777kor.com	1110000	55.55	616605
999poy.com	353429	93.32	329819.9428
a7s7.weebly.com	150962	80.42	121403.6404
azsxdc99.com	113031	80.77	91295.1387
sex169.org	98825	80.9	79949.425
qwe22.com	5385	51.45	2770.5825

Sukebei	1849458
sukebei.nyaa.si	34060000	5.43	1849458

Iwara	1786400
iwara.tv	16240000	11	1786400

捷克論壇	1774864
jkforum.net	20930000	8.48	1774864
